origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-02-22,1,ES,quantile,0.025,339.43427
2026-02-25,ARI incidence,2026-03-01,2,ES,quantile,0.025,309.13528
2026-02-25,ARI incidence,2026-03-08,3,ES,quantile,0.025,281.7499
2026-02-25,ARI incidence,2026-03-15,4,ES,quantile,0.025,261.45258
2026-02-25,ARI incidence,2026-02-22,1,FI,quantile,0.025,2164.0015
2026-02-25,ARI incidence,2026-03-01,2,FI,quantile,0.025,1994.3815
2026-02-25,ARI incidence,2026-03-08,3,FI,quantile,0.025,1867.001
2026-02-25,ARI incidence,2026-03-15,4,FI,quantile,0.025,1788.3796
2026-02-25,ARI incidence,2026-02-22,1,FR,quantile,0.025,162.85861
2026-02-25,ARI incidence,2026-03-01,2,FR,quantile,0.025,111.80342
2026-02-25,ARI incidence,2026-03-08,3,FR,quantile,0.025,90.38036
2026-02-25,ARI incidence,2026-03-15,4,FR,quantile,0.025,78.203156
2026-02-25,ARI incidence,2026-02-22,1,HU,quantile,0.025,2378.3308
2026-02-25,ARI incidence,2026-03-01,2,HU,quantile,0.025,2238.415
2026-02-25,ARI incidence,2026-03-08,3,HU,quantile,0.025,2001.0591
2026-02-25,ARI incidence,2026-03-15,4,HU,quantile,0.025,1575.8192
2026-02-25,ARI incidence,2026-02-22,1,IE,quantile,0.025,48.44427
2026-02-25,ARI incidence,2026-03-01,2,IE,quantile,0.025,43.06116
2026-02-25,ARI incidence,2026-03-08,3,IE,quantile,0.025,36.840622
2026-02-25,ARI incidence,2026-03-15,4,IE,quantile,0.025,34.5727
2026-02-25,ARI incidence,2026-02-22,1,IS,quantile,0.025,55.64991
2026-02-25,ARI incidence,2026-03-01,2,IS,quantile,0.025,49.576614
2026-02-25,ARI incidence,2026-03-08,3,IS,quantile,0.025,45.498642
2026-02-25,ARI incidence,2026-03-15,4,IS,quantile,0.025,41.222477
2026-02-25,ARI incidence,2026-02-22,1,IT,quantile,0.025,516.4078
2026-02-25,ARI incidence,2026-03-01,2,IT,quantile,0.025,395.8009
2026-02-25,ARI incidence,2026-03-08,3,IT,quantile,0.025,331.423
2026-02-25,ARI incidence,2026-03-15,4,IT,quantile,0.025,286.3279
2026-02-25,ARI incidence,2026-02-22,1,LT,quantile,0.025,801.9838
2026-02-25,ARI incidence,2026-03-01,2,LT,quantile,0.025,736.7984
2026-02-25,ARI incidence,2026-03-08,3,LT,quantile,0.025,685.89
2026-02-25,ARI incidence,2026-03-15,4,LT,quantile,0.025,627.4266
2026-02-25,ARI incidence,2026-02-22,1,LU,quantile,0.025,9921.515
2026-02-25,ARI incidence,2026-03-01,2,LU,quantile,0.025,9009.728
2026-02-25,ARI incidence,2026-03-08,3,LU,quantile,0.025,8349.201
2026-02-25,ARI incidence,2026-03-15,4,LU,quantile,0.025,7900.056
2026-02-25,ARI incidence,2026-02-22,1,LV,quantile,0.025,1169.7891
2026-02-25,ARI incidence,2026-03-01,2,LV,quantile,0.025,1117.2345
2026-02-25,ARI incidence,2026-03-08,3,LV,quantile,0.025,964.5283
2026-02-25,ARI incidence,2026-03-15,4,LV,quantile,0.025,752.8805
2026-02-25,ARI incidence,2026-02-22,1,NL,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-01,2,NL,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-08,3,NL,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-15,4,NL,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-02-22,1,PT,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-01,2,PT,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-08,3,PT,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-03-15,4,PT,quantile,0.025,0.0
2026-02-25,ARI incidence,2026-02-22,1,RO,quantile,0.025,585.14233
2026-02-25,ARI incidence,2026-03-01,2,RO,quantile,0.025,518.0027
